Title,Description,Category,Style
The Sun Also Rises,"A novel by Ernest Hemingway, The Sun Also Rises is a story of disillusioned expatriates living in Europe after World War I. The novel is known for its sparse prose style and its exploration of themes such as masculinity, love, and the Lost Generation.",Literature,Modernism
Middlemarch,"A novel by George Eliot, Middlemarch is a complex exploration of life in a small English town. The novel's rich character development and its analysis of social, political, and personal issues have made it one of the great works of Victorian literature.",Literature,Victorian
Dracula,"A novel by Bram Stoker, Dracula is the quintessential vampire story. The novel's blend of horror, Gothic elements, and the supernatural has influenced countless works of fiction.",Literature,Gothic
Ulysses,"A novel by James Joyce, Ulysses is a modernist retelling of Homer's Odyssey set in Dublin. The novel's stream-of-consciousness technique and experimental narrative structure have made it one of the most important works of 20th-century literature.",Literature,Modernism
Catch-22,"A novel by Joseph Heller, Catch-22 is a satirical exploration of the absurdity of war and bureaucracy. The novel's dark humor and critique of institutional power have made it a landmark of post-war American fiction.",Literature,Satire
Heart of Darkness,"A novella by Joseph Conrad, Heart of Darkness follows a voyage up the Congo River and explores themes of colonialism, racism, and the darkness within the human soul. The novella is known for its complex narrative structure and its philosophical depth.",Literature,Colonialism
Beloved,"A novel by Toni Morrison, Beloved explores the legacy of slavery and the haunting effects it has on a family. The novel's lyrical prose and its powerful themes of memory, trauma, and motherhood have made it a modern classic.",Literature,Modernism
Frankenstein,"A novel by Mary Shelley, Frankenstein tells the story of Victor Frankenstein and his creation, a monster who is rejected by society. The novel is a foundational work of Gothic fiction and science fiction, exploring themes of ambition, creation, and responsibility.",Literature,Gothic
The Road,"A novel by Cormac McCarthy, The Road follows a father and son as they struggle to survive in a post-apocalyptic world. The novel's bleak setting and emotional depth have made it a powerful meditation on love, survival, and human resilience.",Literature,Post-Apocalyptic
Lolita,"A novel by Vladimir Nabokov, Lolita is a controversial exploration of obsession and desire. The novel's complex prose and its unsettling themes have made it both highly regarded and controversial in literary circles.",Literature,Modernism
The Old Man and the Sea,"A novel by Ernest Hemingway, The Old Man and the Sea is a story of an old fisherman who struggles to catch a giant marlin. The novel is a meditation on perseverance, dignity, and the struggle against defeat.",Literature,Modernism
Gone with the Wind,"A novel by Margaret Mitchell, Gone with the Wind is a sweeping historical romance set during the American Civil War. The novel is known for its portrayal of Southern culture and its complex characters.",Literature,Historical Fiction
The Adventures of Huckleberry Finn,"A novel by Mark Twain, The Adventures of Huckleberry Finn follows the journey of a young boy and a runaway slave down the Mississippi River. The novel's exploration of race, freedom, and friendship has made it one of the most important works in American literature.",Literature,Picaresque
The Hobbit,"A novel by J.R.R. Tolkien, The Hobbit is a fantasy adventure that follows Bilbo Baggins as he embarks on a journey to reclaim treasure from a dragon. The novel is celebrated for its imaginative world-building and its themes of bravery, friendship, and adventure.",Literature,Fantasy
Of Mice and Men,"A novella by John Steinbeck, Of Mice and Men tells the story of two displaced ranch workers during the Great Depression. The novel explores themes of loneliness, friendship, and the pursuit of the American Dream.",Literature,Realism
Rebecca,"A novel by Daphne du Maurier, Rebecca is a Gothic tale of a young woman who marries a wealthy widower, only to find herself haunted by the memory of his first wife. The novel's blend of mystery, romance, and psychological suspense has made it a classic of Gothic fiction.",Literature,Gothic
Symphony No. 3,"A symphony by Ludwig van Beethoven, Symphony No. 3, also known as 'Eroica', is considered a landmark in classical music. The symphony is known for its emotional depth, innovative structure, and its break from traditional symphonic form.",Music,Classical
The Planets,"A suite of orchestral compositions by Gustav Holst, The Planets is a programmatic work that depicts the astrological characteristics of the planets in our solar system. The suite is renowned for its vivid orchestration and thematic diversity.",Music,Modernism
The Four Seasons,"A set of violin concertos by Antonio Vivaldi, The Four Seasons is a musical representation of the changing seasons. Each concerto captures the essence of spring, summer, autumn, and winter, making it one of the most popular works of Baroque music.",Music,Baroque
Carmen,"An opera by Georges Bizet, Carmen is the story of a passionate and free-spirited gypsy woman. The opera is known for its memorable melodies, including the famous 'Habanera' and 'Toreador Song,' and its tragic ending.",Music,Romanticism
La Bohème,"An opera by Giacomo Puccini, La Bohème follows the lives and loves of a group of young artists in Paris. The opera is celebrated for its beautiful arias and its depiction of love, poverty, and friendship.",Music,Romanticism
Symphony No. 2,"A symphony by Johannes Brahms, Symphony No. 2 is known for its warm, pastoral themes and its lyrical beauty. The symphony is often considered one of Brahms's most accessible and beloved works.",Music,Romanticism
Tristan und Isolde,"An opera by Richard Wagner, Tristan und Isolde tells the tragic love story of the knight Tristan and the Irish princess Isolde. The opera is known for its intense emotional depth and its use of chromaticism, which influenced the development of modern music.",Music,Romanticism
Peer Gynt,"An orchestral suite by Edvard Grieg, Peer Gynt is based on Henrik Ibsen's play of the same name. The suite includes some of Grieg's most famous pieces, such as 'Morning Mood' and 'In the Hall of the Mountain King.'",Music,Romanticism
Turandot,"An opera by Giacomo Puccini, Turandot is set in ancient China and tells the story of Prince Calaf's attempt to win the love of the cold Princess Turandot. The opera is known for its powerful arias, including the famous 'Nessun Dorma.'",Music,Romanticism
Symphony No. 6,"A symphony by Pyotr Ilyich Tchaikovsky, Symphony No. 6, also known as the 'Pathétique,' is a deeply emotional work that explores themes of fate, despair, and triumph. The symphony is one of Tchaikovsky's most personal and expressive works.",Music,Romanticism
The Rite of Spring,"A ballet and orchestral work by Igor Stravinsky, The Rite of Spring is famous for its primal rhythms and dissonance. The work's 1913 premiere caused a riot, and it remains one of the most revolutionary pieces of modern music.",Music,Modernism
Boléro,"An orchestral work by Maurice Ravel, Boléro is a one-movement piece built on a single, repeating melody that gradually crescendos. The piece is known for its hypnotic rhythm and its innovative use of orchestration.",Music,Modernism
Don Giovanni,"An opera by Wolfgang Amadeus Mozart, Don Giovanni is a story of the legendary libertine Don Juan. The opera is known for its dramatic intensity and its blend of comedy, tragedy, and supernatural elements.",Music,Classical
Symphony No. 1,"A symphony by Gustav Mahler, Symphony No. 1, also known as 'Titan,' is a monumental work that explores themes of nature, heroism, and existential struggle. The symphony is notable for its innovative orchestration and its use of folk melodies.",Music,Romanticism
Aida,"An opera by Giuseppe Verdi, Aida is set in ancient Egypt and tells the story of the doomed love between Aida, an Ethiopian princess, and Radamès, an Egyptian soldier. The opera is known for its grand scale and its powerful arias.",Music,Romanticism
Rhapsody in Blue,"A composition by George Gershwin, Rhapsody in Blue blends elements of classical music and jazz. The piece is known for its energetic rhythms, sweeping melodies, and its representation of 1920s American culture.",Music,Jazz
The Firebird,"A ballet by Igor Stravinsky, The Firebird is based on a Russian folk tale. The ballet is celebrated for its colorful orchestration, dynamic rhythms, and its influence on modern music.",Music,Modernism
Porgy and Bess,"An opera by George Gershwin, Porgy and Bess is set in an African American community in the South. The opera is known for its blending of classical and jazz elements and for its famous songs, including 'Summertime.'",Music,Opera
Tosca,"An opera by Giacomo Puccini, Tosca is a tale of love, betrayal, and political intrigue set in Rome. The opera is known for its dramatic intensity and its beautiful arias, including 'Vissi d'arte.'",Music,Romanticism
Symphony No. 7,"A symphony by Anton Bruckner, Symphony No. 7 is one of the composer's most famous works. The symphony is known for its grandeur, its emotional depth, and its innovative use of orchestration.",Music,Romanticism
The Persistence of Memory,"A surrealist painting by Salvador Dalí, The Persistence of Memory features melting clocks draped over a barren landscape, exploring the fluidity of time and the dreamlike nature of reality.",Art,Surrealism
The Last Judgment,"A fresco by Michelangelo, The Last Judgment covers the altar wall of the Sistine Chapel and depicts the Second Coming of Christ and the final judgment of souls, a masterpiece of High Renaissance art.",Art,Renaissance
The Water Lily Pond,"A painting by Claude Monet, The Water Lily Pond captures the beauty of nature with Impressionist techniques, emphasizing light, color, and atmosphere in a garden scene.",Art,Impressionism
The Swing,"A Rococo painting by Jean-Honoré Fragonard, The Swing is a playful and light-hearted depiction of a young woman on a swing, embodying the elegance and frivolity of the era.",Art,Rococo
The Tower of Babel,"A painting by Pieter Bruegel the Elder, The Tower of Babel depicts the biblical story of the construction of the tower, symbolizing human ambition and its consequences.",Art,Northern Renaissance
The Night Café,"A painting by Vincent van Gogh, The Night Café is an intense, emotional work that uses bold colors to convey a sense of isolation and inner turmoil.",Art,Post-Impressionism
Girl with a Pearl Earring,"A painting by Johannes Vermeer, Girl with a Pearl Earring is often referred to as the 'Mona Lisa of the North,' known for its serene beauty, subtle lighting, and captivating gaze.",Art,Dutch Golden Age
The Blue Boy,"A painting by Thomas Gainsborough, The Blue Boy is an iconic example of British portraiture, known for its vivid blue costume and detailed rendering of textures and fabrics.",Art,Baroque
The Birth of Venus,"A painting by Sandro Botticelli, The Birth of Venus depicts the goddess Venus emerging from the sea on a shell, a symbol of beauty and the divine, celebrated for its flowing lines and delicate figures.",Art,Renaissance
The Oath of the Horatii,"A painting by Jacques-Louis David, The Oath of the Horatii embodies Neoclassical ideals with its emphasis on stoicism, heroism, and the duty to one's country, depicted through a dramatic Roman scene.",Art,Neoclassicism
The Coronation of Napoleon,"A painting by Jacques-Louis David, The Coronation of Napoleon is a grand historical work that captures the moment Napoleon crowned himself Emperor, filled with rich details and symbolism.",Art,Neoclassicism
Starry Night Over the Rhône,"A painting by Vincent van Gogh, Starry Night Over the Rhône depicts a night sky filled with swirling stars reflected in the Rhône River, capturing the beauty of light and darkness.",Art,Post-Impressionism
The Dance,"A painting by Henri Matisse, The Dance is a bold, vibrant work that uses simplified forms and intense color to express joy, rhythm, and movement.",Art,Fauvism
The Burial of the Count of Orgaz,"A painting by El Greco, The Burial of the Count of Orgaz combines Renaissance realism with Mannerist elements, depicting a miraculous event with spiritual intensity and dramatic lighting.",Art,Mannerism
The Fighting Temeraire,"A painting by J.M.W. Turner, The Fighting Temeraire depicts a majestic warship being towed to its final berth, symbolizing the end of an era in British naval history with dramatic skies and light.",Art,Romanticism
The Laughing Cavalier,"A portrait by Frans Hals, The Laughing Cavalier is celebrated for its lively expression, detailed rendering of fabrics, and dynamic brushwork, making it a masterpiece of Baroque portraiture.",Art,Baroque
The Milkmaid,"A painting by Johannes Vermeer, The Milkmaid captures a simple domestic scene with rich detail, soft light, and a focus on everyday life, a hallmark of Dutch Golden Age art.",Art,Dutch Golden Age
The Raft of the Medusa,"A painting by Théodore Géricault, The Raft of the Medusa is a powerful depiction of human suffering and survival, based on a real-life shipwreck and rendered with dramatic realism and emotion.",Art,Romanticism
Liberty Leading the People,"A painting by Eugène Delacroix, Liberty Leading the People is a revolutionary work that portrays the allegorical figure of Liberty leading the French people, blending Romanticism with political symbolism.",Art,Romanticism
The Sleeping Gypsy,"A painting by Henri Rousseau, The Sleeping Gypsy is a dreamlike, enigmatic work depicting a sleeping figure and a lion in a desert landscape, noted for its naive style and surreal qualities.",Art,Naïve Art
